Car_ID,Brand,Model,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine_CC,Owner_Type,Accident_History,Insurance_Status,Service_History,City,Color,Condition,Seller_Type,Original_Price_Lakh,Resale_Price_Lakh
CAR10001,Kia,Carens,2018,87154,Diesel,Manual,1597,Second,0,Third Party,Complete,Pune,Blue,Good,Individual,11.91,4.51
CAR10002,Honda,City,2024,67357,Petrol,NA,1597,Third,0,Third Party,Partial,Ahmedabad,NA,Good,Individual,10.98,8.18
CAR10003,Skoda,NA,2020,42760,Electric,Automatic,1995,Third,0,Comprehensive,Complete,Ahmedabad,Blue,Good,Individual,11.5,6.61
CAR10004,Renault,Kiger,2021,99151,Petrol,AMT,2393,Third,0,Comprehensive,Complete,Bengaluru,White,Good,Individual,9.96,4.95
CAR10005,Toyota,Fortuner,2023,29873,Electric,Manual,1197,First,0,Comprehensive,Partial,Kolkata,Grey,Fair,Dealer,12.80 L,9.32
CAR10006,Kia,Seltos,2013,65701,Petrol,Manual,1995,Second,0,Expired,Complete,Kolkata, Black ,Fair,Dealer,11.26,2.39
CAR10007,Volkswagen,Polo,2017,NA,Diesel,Manual,799,First,0,Comprehensive,Complete,Bengaluru,NA,Good,Individual,11.27,5.04
CAR10008,Tata,Safari,2014,61528,NA,CVT,1498,NA,NA,Comprehensive,NA,Kolkata,Brown,Fair,Dealer,8.86,1.67
CAR10009,Kia,Seltos,2022,61159,CNG,CVT,998,Second,0,Comprehensive,Complete,Chennai,Blue,Good,Individual,11.66,6.8
CAR10010,Skoda,Kushaq,2017,138294,CNG,Automatic,1597,First,0,Comprehensive,Partial,Bengaluru,Brown,Good,Individual,10.86,3.85
CAR10011,Skoda,Kushaq,2014,23256,CNG,CVT,1197,First,0,Third Party,Complete,Hyderabad,Black,Excellent,Individual,11.22,3.29
CAR10012,Renault,Kwid,2019,39521,Petrol,AMT,2755,First,0,Comprehensive,Complete,AURANGABAD,Silver,Good,Individual,NA,3.02
CAR10013,Toyota,Urban Cruiser,2022,86470,CNG,Manual,2393,Fourth,0,Third Party,Partial,Jaipur,Blue,Good,Individual,13.75,6.43
CAR10014,Honda,NA,2024,66138,Petrol,NA,1497,Second,0,Expired,Partial,Hyderabad,White,Good,Individual,11.5,8.73
CAR10015,Renault,Kwid,2015,60733,Petrol,Manual,NA,First,0,Expired,Complete,Pune,Grey,Excellent,Dealer,6.5,2.18
CAR10016,Renault,Kwid,2023,32507,Petrol,Manual,998,Third,0,Comprehensive,Partial,Chennai,Blue,Good,Individual,4.78,2.82
CAR10017,Tata,Punch,2021,39740,Petrol,Automatic,799,Third,0,Comprehensive,Complete,Bengaluru,Grey,Good,Individual,9.01,5.8
CAR10018,Mahindra,XUV700,2017,109082,Diesel,Automatic,1497,Second,0,Third Party,NA,Kolkata,White,Good,Dealer,NA,2.9
CAR10019,Toyota,Innova,2020,53463,Petrol,Automatic,2179,Second,1,Expired,Missing,Aurangabad,NA,Good,Dealer,NA,6.8
CAR10020,Hyundai,Grand i10,2013,67611,Petrol,Manual,2179,First,0,Third Party,Complete,Pune,NA,Good,Dealer,11.36,2.93
CAR10021,Renault,Triber,2013,51623,Diesel,AMT,1597,First,NA,Comprehensive,Partial,Ahmedabad,Grey,Fair,Dealer,NA,1.53
CAR10022,Nissan,Sunny,2018,28692,Electric,Manual,2179,First,NA,Comprehensive,Complete,Mumbai,Brown,Excellent,Individual,9.65,4.16
CAR10023,Mahindra,Thar,2013,91920,Diesel,Manual,NA,Third,1,Comprehensive,Partial,Nagpur,Brown,Good,Individual,11.56,1.87
CAR10024,Hyundai,Verna,2013,72538,Diesel,DCT,1197,Second,NA,Comprehensive,Partial,Jaipur,Grey,Good,Dealer,9.52,2.37
CAR10025,Nissan,Magnite,2015,195475,Diesel,Manual,2755,First,0,Comprehensive,Complete,Ahmedabad,Blue,Good,Dealer,10.2,2.5
CAR10026,Toyota,Urban Cruiser,2020,31461,CNG,Manual,NA,Second,1,Third Party,Complete,Hyderabad,Brown,Good,Dealer,14.37,6.75
CAR10027,Maruti,Brezza,2019,86465,Electric,Automatic,1597,Second,0,Comprehensive,NA,Delhi,Grey,Good,Individual,10.14,4.98
CAR10028,Nissan,Kicks,2013,26735,Diesel,CVT,1995,Second,1,Comprehensive,Missing,Kolkata,black,Good,Dealer,10.14,2.63
CAR10029,Volkswagen,Polo,2019,59971,Petrol,Manual,998,First,0,Comprehensive,Missing,Chennai,Silver,Good,Individual,11.15 L,4.42
CAR10030,Mahindra,XUV700,2015,94105,CNG,AMT,1497,Second,NA,Comprehensive,Missing,Delhi,Brown,Fair,Individual,9.46,2.95
CAR10031,Nissan,Sunny,2013,17595,Electric,CVT,1497,First,0,NA,Complete,Aurangabad,Red,Excellent,Dealer,8.49,2.1
CAR10032,Ford,Aspire,2022,49137,Petrol,Manual,2179,First,1,Expired,Missing,Mumbai,Blue,Good,Individual,8.99,5.3
CAR10033,Maruti,Dzire,2021,40349,NA,Manual,1197,NA,NA,Third Party,NA,Nashik,Blue,NA,Individual,9.14,5.59
CAR10034,Skoda,NA,2018,37384,CNG,Automatic,1498,First,2,Comprehensive,Complete,Aurangabad,NA,Good,Individual,10.52,4.25
CAR10035,Skoda,Rapid,2017,67979,DIESEL,Manual,2393,Second,0,Third Party,Partial,Chennai,Black,Excellent,Individual,12.48 L,4.95
CAR10036,Volkswagen,Polo,2025,101871,Petrol,Manual,NA,First,NA,Comprehensive,Partial,Aurangabad,NA,Good,Dealer,11.14,7.5
CAR10037,Nissan,Kicks,2021,51112,Diesel,CVT,998,Fourth,0,Third Party,Complete,Chennai,Black,Good,Individual,8.5,3.64
CAR10038,Nissan,Magnite,2016,61580,Petrol,Automatic,998,Second,0,COMPREHENSIVE,Partial,Aurangabad,Black,Excellent,Dealer,9.23,2.76
CAR10039,Tata,Nexon,2022,58568,Petrol,Manual,1199,First,1,Comprehensive,Complete,Jaipur,Grey,Fair,Individual,9.2,4.86
CAR10040,Nissan,Kicks,2012,55054,Electric,Manual,1199,Second,0,Comprehensive,Partial,Chennai,Red,Excellent,Individual,9.79,2.55
CAR10041,Kia,Seltos,2013,30210,Diesel,Automatic,1597,First,NA,Comprehensive,Partial,Jaipur,Red,Good,Individual,11.62,3.39
CAR10042,Honda,Jazz,2019,101187,CNG,Automatic,799,Second,0,Comprehensive,Missing,Jaipur,Brown,Fair,Dealer,10.48,3.87
CAR10043,Ford,Endeavour,2012,64695,CNG,Automatic,2755,First,0,Third Party,Complete,Bengaluru,Grey,Fair,Dealer,10.08,2.19
CAR10044,Tata,Tiago,2014,68341,Diesel,AMT,NA,First,0,Comprehensive,Partial,Ahmedabad,Blue,Good, Individual ,10.27,3.3
CAR10045,Toyota,Glanza,2013,35295,CNG,Automatic,2755,NA,0,Comprehensive, Complete ,Mumbai,Grey,Excellent,Individual,15.55,2.8
CAR10046,Tata,Nexon,2016,42724,petrol,DCT,2179,First,0,Third Party,Partial,Nashik,Red,Fair,Individual,10.94,3.79
CAR10047,Kia,Carens,2015,49921,Diesel,CVT,998,NA,0,Third Party,NA,Ahmedabad,Black,Good,Individual,11.14,3.35
CAR10048,Toyota,Urban Cruiser,2024,23654,Diesel,Manual,1497,First,0,Comprehensive,Complete,Ahmedabad,Brown,Excellent,Individual,13.34,12.8
CAR10049,Ford,EcoSport,2018,21734,Diesel,Manual,2393,Second,1,Comprehensive,Complete,Jaipur,Grey,Poor,Dealer,10.36,2.36
CAR10050,Kia,Sonet,2016,39524,Petrol,NA,2755,First,0,Expired,Complete,Nagpur,Black,Excellent,Individual,12.02,4.39
CAR10051,Hyundai,i20,2019,73311,NA,Manual,2393,first,0,Third Party,Complete,Chennai,Black,Good,Dealer,10.59,4.39
CAR10052,Honda,Jazz,2015,38401,Petrol,Manual,1199,First,1,Third Party,Complete,Mumbai,Blue,Good,Individual,11.09,3.29
CAR10053,Ford,Endeavour,2023,31405,Diesel,Manual,1199,NA,0,NA,Missing,Delhi,Grey,Fair,Individual,9.8,6.54
CAR10054,Nissan,NA,2017,35137,Electric,Manual,1995,Third,0,Comprehensive,Partial,Kolkata,Grey,Good,Dealer,7.68,2.11
CAR10055,Hyundai,Creta,2015,42815,Electric,Manual,1498,Third,1,Comprehensive,Complete,Mumbai,Blue,Fair,Individual,10.5,2.63
CAR10056,Volkswagen,Taigun,2013,45272,Petrol,Manual,1597,Third,0,Comprehensive,Partial,Bengaluru,Red,Good,Individual,11.27,1.78
CAR10057,Ford,EcoSport,2012,180977,Petrol,manual,2755,First,1,Third Party,Complete,Jaipur,Grey,Good,Individual,10.55,1.93
CAR10058,Volkswagen,Polo,2025,98236,Petrol,Automatic,2179,First,0,Third Party,Complete,Pune,White,Fair,Individual,12.58,9.34
CAR10059,Toyota,Fortuner,2025,96636,Petrol,Manual,1197,Second,0,Third Party,Partial,Delhi,Blue,Good,Individual,14.23,10.8
CAR10060,Hyundai,Venue,2012,104590,CNG,DCT,2755,FOURTH,1,Comprehensive,Complete,Pune,Black,Fair,Dealer,12.33,1.51
CAR10061,Honda,City,2019,31752,Electric,Manual,998,Second,0,Comprehensive,Complete,Nagpur,Black,Fair,Individual,10.71,3.8
CAR10062,Nissan,Magnite,2025,28079,Petrol,CVT,1197,First,0,Third Party,Complete,Jaipur,Blue,Good,Dealer,8.24,6.58
CAR10063,Nissan,magnite,2015,29920,Petrol,Manual,1995,Second,NA,THIRD PARTY,Missing,Jaipur,Silver,Good,Individual,9.39,3.25
CAR10064,Kia,Sonet,2016,114584,Petrol,Automatic,2179,First,0,Comprehensive,Complete,Ahmedabad,Black,Good,Individual,12.39,4.36
CAR10065,Nissan,Kicks,2022,40706,Petrol,Manual,NA,Third,0,Third Party,Complete,Aurangabad,White,Good,Individual,9.56,5.85
